avgTemp,minTemp,maxTemp,rainfall,price
17.2,9.3,24.8,0.0,4493.0
18.1,11.6,25.3,0.0,4493.0
16.6,12.4,22.0,0.1,4460.0
13.9,8.5,20.3,0.8,4400.0
13.8,7.9,20.4,0.0,4387.0
14.5,8.2,21.2,0.0,4302.0
15.9,8.7,23.1,0.0,4178.0
16.0,9.8,22.5,0.0,4178.0
18.3,10.2,26.5,0.0,4178.0
19.4,11.5,26.9,5.8,3886.0
18.0,16.4,19.7,51.4,3947.0
19.3,15.1,24.6,2.4,3997.0
20.6,13.9,28.2,0.0,3854.0
21.7,13.8,30.2,0.0,3854.0
17.8,14.7,22.6,24.2,3854.0
15.8,14.3,17.5,26.8,3854.0
15.0,13.5,17.3,4.8,3695.0
15.2,12.9,18.4,1.9,3576.0
16.3,11.9,21.4,0.2,3509.0
16.0,10.2,22.4,0.0,3463.0
15.5,11.3,20.0,0.0,3415.0
17.3,12.7,23.5,0.0,3415.0
16.8,11.5,22.9,0.0,3415.0
16.1,11.6,21.5,0.1,3239.0
16.4,9.7,23.1,0.0,2976.0
18.4,11.0,25.5,0.0,2976.0
20.5,13.5,27.6,0.0,2775.0
21.5,14.8,28.7,0.0,2691.0
22.0,15.3,29.6,0.5,2691.0
22.1,16.1,29.7,1.6,2691.0
21.7,16.3,28.3,0.6,2706.0
21.4,14.9,28.1,0.0,2706.0
22.4,14.8,30.0,0.0,2706.0
22.6,15.8,30.0,0.0,2698.0
22.3,16.0,28.6,0.8,2773.0
20.3,17.6,23.3,11.9,2773.0
22.7,19.0,27.7,2.9,2773.0
23.0,18.8,28.1,2.8,2755.0
23.0,19.4,28.7,2.3,2755.0
23.4,18.6,29.3,0.2,2636.0
24.5,19.5,30.1,0.0,2545.0
23.8,20.7,27.9,1.8,2490.0
22.9,20.2,27.1,2.3,2490.0
23.4,20.1,28.1,4.6,2490.0
23.1,18.8,28.6,0.0,2598.0
23.0,17.0,29.3,0.0,2535.0
22.5,17.4,28.4,0.0,2553.0
23.1,16.5,29.9,0.0,2453.0
23.7,18.6,29.6,0.8,2480.0
22.6,20.4,25.1,11.4,2480.0
22.7,20.6,25.5,3.9,2480.0
23.2,20.0,27.9,9.2,2596.0
24.2,20.1,29.4,0.1,2621.0
24.1,21.3,28.1,3.7,2638.0
24.8,21.8,28.8,5.0,2567.0
24.3,23.0,26.2,17.1,2544.0
24.8,22.8,27.9,6.1,2544.0
24.2,22.3,27.1,1.4,2544.0
25.3,22.1,30.1,1.0,2574.0
25.8,21.3,31.6,0.4,2664.0
24.7,20.7,29.8,1.1,2738.0
23.7,20.1,28.4,0.7,2771.0
24.5,20.4,30.2,0.8,2771.0
24.6,20.4,29.3,4.6,2771.0
22.1,20.6,24.5,57.6,2771.0
23.2,20.1,26.7,0.6,2953.0
23.2,20.3,27.0,11.3,3216.0
23.9,20.0,28.7,0.1,3155.0
24.4,20.5,29.3,0.9,3300.0
24.1,22.0,27.1,54.1,3327.0
25.1,23.2,27.8,36.6,3327.0
26.8,23.5,30.8,1.1,3327.0
27.1,23.4,31.9,0.7,3721.0
27.5,23.6,32.0,0.5,3671.0
27.7,24.1,32.0,2.2,3700.0
27.9,24.4,32.4,0.2,3744.0
26.2,23.1,30.9,21.3,3759.0
26.0,22.9,30.9,6.7,3759.0
26.0,22.8,31.1,5.6,3759.0
26.3,23.1,31.1,1.9,3694.0
26.7,22.9,31.9,3.2,3792.0
25.2,22.5,28.5,14.4,3792.0
26.5,23.4,30.9,0.7,3678.0
27.0,24.1,30.9,0.1,3776.0
27.8,24.3,31.7,0.0,3776.0
28.5,25.2,33.0,0.0,3776.0
27.3,24.2,31.8,4.4,4316.0
26.2,23.5,29.9,1.8,4360.0
28.2,24.5,32.9,1.9,4360.0
28.8,25.2,33.4,2.6,4360.0
27.9,25.5,32.2,9.1,4151.0
26.9,24.0,31.7,8.4,4151.0
27.0,23.1,32.3,1.9,4151.0
27.9,22.8,33.3,1.3,4240.0
26.3,24.5,29.5,43.3,4149.0
26.8,24.3,30.4,32.4,4093.0
26.3,22.9,30.4,3.1,4270.0
26.2,23.6,29.8,38.0,4270.0
27.1,24.8,30.0,14.0,4270.0
27.0,24.7,30.1,38.2,4270.0
25.4,22.8,29.2,20.6,4258.0
25.8,22.3,30.7,16.9,4258.0
26.7,23.2,31.8,14.4,4070.0
27.6,24.0,32.4,0.4,3642.0
28.1,24.2,33.3,0.2,3662.0
28.5,24.3,33.9,0.0,3662.0
28.5,24.3,33.6,0.2,3662.0
27.7,24.4,32.1,6.0,3612.0
26.5,23.6,31.0,6.8,3749.0
24.4,22.4,28.1,19.3,4146.0
25.5,22.6,29.4,12.7,4371.0
26.0,23.0,29.9,6.0,4371.0
26.2,24.0,28.8,18.3,4371.0
25.8,23.5,29.3,29.3,4371.0
25.9,23.5,30.0,4.7,4360.0
25.4,23.0,29.9,17.0,4383.0
26.6,23.0,31.7,14.8,4420.0
26.0,23.5,29.8,26.7,4420.0
26.8,23.4,31.7,3.4,4495.0
26.9,23.0,32.1,0.1,4495.0
26.6,23.2,32.3,10.3,4495.0
24.5,22.9,26.9,21.5,4895.0
23.9,21.6,27.1,18.6,5183.0
22.1,19.9,25.2,0.2,5183.0
22.6,19.3,26.3,12.4,4945.0
25.1,21.5,29.8,17.4,4945.0
24.2,22.6,26.5,42.6,4945.0
23.4,20.3,27.3,34.2,4945.0
22.7,19.0,28.0,0.2,5535.0
22.6,18.8,28.0,0.2,5748.0
22.3,17.6,28.5,0.5,6664.0
22.3,16.9,29.5,0.0,6807.0
22.8,17.3,30.0,0.0,6829.0
23.3,18.1,30.1,0.0,6829.0
21.9,18.2,26.4,6.1,6829.0
23.2,20.2,27.3,7.4,7184.0
24.9,20.6,29.7,30.1,7184.0
18.5,16.1,23.2,9.7,7184.0
17.7,13.6,23.3,0.2,7184.0
17.3,12.1,23.9,0.0,7629.0
17.3,12.3,23.7,0.0,7629.0
17.0,13.1,22.6,0.1,7629.0
17.5,13.1,23.7,0.6,11678.0
16.3,10.6,21.7,0.5,12410.0
14.1,9.2,19.9,0.0,12410.0
14.8,9.4,22.3,0.0,12011.0
15.6,9.2,23.2,0.0,12011.0
17.8,12.3,22.6,12.9,12011.0
19.0,15.3,23.5,6.7,12011.0
15.6,13.1,19.0,2.3,10425.0
15.4,11.4,20.5,0.1,10425.0
15.7,10.4,22.8,0.0,10025.0
16.9,11.3,24.1,0.0,9626.0
17.7,14.1,22.7,3.9,9583.0
18.1,14.4,23.7,0.7,9583.0
17.6,13.0,24.6,0.0,9583.0
17.1,12.5,22.5,0.1,9000.0
17.3,13.3,22.9,0.0,8500.0
16.2,12.7,20.8,0.3,7600.0
15.8,11.4,20.9,0.0,6800.0
13.9,9.1,19.1,0.0,6100.0
14.5,8.2,21.9,0.0,6100.0
14.7,9.2,22.2,0.1,6100.0
14.2,8.9,21.7,0.1,5014.0
15.1,9.4,22.7,0.0,4729.0
15.3,10.5,21.9,0.0,4356.0
15.5,10.8,21.3,1.1,3860.0
15.5,10.8,22.1,0.0,3770.0
15.2,9.9,20.8,0.3,3770.0
16.1,13.5,20.5,8.1,3770.0
13.1,7.8,17.9,0.3,3688.0
5.3,0.8,9.8,0.0,3647.0
6.7,-0.5,13.3,0.0,3653.0
7.6,1.8,14.7,0.0,3698.0
9.1,1.3,17.3,0.0,3614.0
11.3,5.7,18.2,0.0,3614.0
11.3,5.8,17.9,0.6,3614.0
11.4,5.7,17.6,0.0,3594.0
8.0,3.1,12.6,0.0,3412.0
6.9,0.2,14.0,0.0,3362.0
9.1,2.5,16.9,0.0,3222.0
10.2,4.6,17.7,0.0,3184.0
10.7,5.2,18.1,0.0,3184.0
10.8,5.7,17.8,0.4,3184.0
9.4,4.5,14.0,1.5,3111.0
6.1,3.3,9.9,0.1,3154.0
5.8,0.2,12.3,0.0,3079.0
